"year","ticker","all_terms_ratio"
2008,"cvx",2
2008,"xom",8.75
2009,"cvx",3.25
2009,"pbr",0
2009,"xom",10.75
2010,"bp",5
2010,"cvx",4.5
2010,"rds.a",16
2010,"xom",8.66666666666667
2011,"cvx",4.25
2011,"pbr",4
2011,"rds.a",13
2011,"xom",17
2012,"bp",46
2012,"cvx",4.75
2012,"pbr",8.66666666666667
2012,"rds.a",15
2012,"xom",32.7142857142857
2013,"bp",37
2013,"cvx",2.25
2013,"pbr",7.5
2013,"rds.a",35.25
2013,"tot",13
2013,"xom",21.2857142857143
2014,"bp",35
2014,"cvx",1.88888888888889
2014,"pbr",2.5
2014,"rds.a",32.3333333333333
2014,"xom",13.4
2015,"bp",33.5
2015,"cvx",3.5
2015,"pbr",10.3333333333333
2015,"rds.a",27
2015,"tot",2
2015,"xom",4.77777777777778
2016,"bp",31
2016,"cvx",4
2016,"pbr",12.3333333333333
2016,"rds.a",24.25
2016,"tot",3.5
2016,"xom",4
2017,"bp",10.5
2017,"cvx",2.2
2017,"pbr",15.6666666666667
2017,"rds.a",50.5
2017,"tot",6
2017,"xom",25.8333333333333
2018,"bp",38.75
2018,"cvx",8.2
2018,"pbr",18.3333333333333
2018,"rds.a",49.75
2018,"tot",6.25
2018,"xom",26.8333333333333
2019,"bp",102
2019,"cvx",10
2019,"rds.a",62
2019,"tot",24
2019,"xom",51
